Actual Labels,Predicted Labels,Decision Values
131,0,0.337433524808525
1,1,0.7776470473970476
6,0,0.38367057207498384
101,1,0.5505599730936415
5158,0,0.24895229770229765
17,0,0.3760995107833343
132,1,0.6613445027195027
0,0,0.28723813033371853
1,1,0.7314903707403707
126,0,0.491834595959596
12,0,0.31237439022965335
9523,0,0.12366615329115328
136,0,0.2688636641136641
2,1,0.7603807989396225
1,1,0.7279290154290153
956,0,0.26752907180538754
814,0,0.16040992340992338
2088,0,0.4212034361836994
0,1,0.7740534008475183
28,0,0.2591688654912339
5,1,0.8125958069708069
1,0,0.3158531607281607
4,1,0.6686839271839274
226,1,0.647535363329481
135,0,0.3212408392690901
135,0,0.2865738124104997
97,0,0.301940098343349
2,0,0.35232005984211867
54,1,0.5374168747918747
265,0,0.3531924880674881
6,1,0.5896763514263512
255,1,0.7061534674475851
206,0,0.4057517466193937
141,0,0.26723662521688835
179,1,0.5490855870995189
26,0,0.41446514596514605
652,0,0.15667614330114327
1,1,0.6191854118104118
0,0,0.44927424046541703
0,1,0.6239762299963537
3,1,0.6568261044511046
24,1,0.5535072705072703
299,0,0.12269078217104532
0,0,0.455600935828877
0,0,0.06320437895437897
4,1,0.7215597278538456
0,0,0.34078082224792733
0,0,0.3363763736263737
3,1,0.6926247698809618
1,1,0.8143631744072916
4,1,0.7939702519702518
159,0,0.2296607559107559
794,0,0.17176236263736258
73,0,0.43052669552669554
0,1,0.6857653318903318
3,1,0.5840928654678654
813,0,0.2981908405921564
136,0,0.4354068986568986
4,1,0.6760069652569655
33,0,0.49344135194870475
7,1,0.6600892261333438
699,0,0.25849554612054615
181,0,0.3838806814530498
507,0,0.46021256521256526
142,1,0.5693019341769342
25,1,0.5677691556809205
0,0,0.36984968136438723
5,0,0.4878707403707404
0,1,0.5453905261405263
2,1,0.6481274332392752
23,1,0.5291893661893663
1,1,0.5484132909574088
0,0,0.09683684371184373
443,1,0.5036437941143823
119,0,0.22347378275319446
102,0,0.32792157842157843
0,0,0.012293040293040293
7,1,0.6607385808635807
928,0,0.3505868559545029
2,0,0.3963438644688643
62,0,0.46455879822791574
6,1,0.6683100118835411
1,1,0.578328921078921
21,1,0.5977358701240281
3713,0,0.2015975135975136
175,0,0.40426950826950825
0,0,0.3847915181224005
0,0,0.056831168831168836
0,0,0.11887096237096235
343,0,0.34627971211794745
996,0,0.1384483988233988
1250,0,0.191103132978133
33,1,0.6815369666882823
40,0,0.41571853146853144
0,0,0.22600524883613118
7,1,0.6867648005589182
925,0,0.35387530933119166
1624,0,0.21277310597898833
258,0,0.4793094164607322
19,1,0.7153101620601621
0,1,0.5015950160950161
5,1,0.5396420523920525
7,0,0.4231981351981352
86,1,0.5503193955167638
151,0,0.46738103563103556
0,0,0.4478972138972139
132,0,0.4146263817881466
61,1,0.6106033133533133
7,0,0.4645777833277834
13,1,0.6376992256109904
5,1,0.5140211414402591
21,1,0.7610747683688858
1528,0,0.30289989177489174
4,0,0.4782492065337334
0,0,0.4116361693861694
47,0,0.4967577307453467
0,1,0.6864457574589155
9,1,0.5417917499167499
365,0,0.46478546131371196
665,0,0.36583220215457046
27,1,0.5936036514654938
795,0,0.25128087190587195
4,1,0.7780593762962184
36,0,0.4691046453546454
13920,0,0.12033220945720943
1152,0,0.3113776958335782
7,1,0.6982316670257848
0,0,0.44213580700345384
670,0,0.330312009069362
564,0,0.2228447115749747
2,1,0.6267551582404525
